estacao;baia;taxon;biomassa_g_m2;rank
Ponta das Canas;Baia Norte;Sargassum stenophyllum;969.57;1
Ponta das Canas;Baia Norte;Amphiroa beauvoisii;290.69;2
Ponta das Canas;Baia Norte;Sargassum brachygonia;215.68;3
Ponta das Canas;Baia Norte;Jania adhaerens;181.71;4
Ponta das Canas;Baia Norte;Arthrocardia sp.;122.80;5
Sambaqui;Baia Norte;Sargassum filipendula;453.40;1
Sambaqui;Baia Norte;Hypnea musciformis;259.31;2
Sambaqui;Baia Norte;Gelidiopsis variabilis;162.36;3
Sambaqui;Baia Norte;Sargassum vulgare;134.81;4
Sambaqui;Baia Norte;Gelidium crinale;115.87;5
Ponta do Coral;Baia Norte;Gelidium crinale;569.19;1
Ponta do Coral;Baia Norte;Chondracanthus acicularis;176.99;2
Ponta do Coral;Baia Norte;Centroceras clavulatum;111.17;3
Ponta do Coral;Baia Norte;Gymnogongrus griffithsiae;75.58;4
Ponta do Coral;Baia Norte;Cladophora sp.;66.36;5
Saco dos Limoes;Baia Sul;Enteromorpha flexuosa;282.75;1
Saco dos Limoes;Baia Sul;Bostrychia radicans;99.51;2
Saco dos Limoes;Baia Sul;Ulva lactuca;71.64;3
Saco dos Limoes;Baia Sul;Gelidiella trinitatensis;53.53;4
Ribeirao da Ilha;Baia Sul;Gelidiopsis variabilis;86.26;1
Ribeirao da Ilha;Baia Sul;Spyridia filamentosa;62.09;2
Ribeirao da Ilha;Baia Sul;Centroceras clavulatum;54.87;3
Ribeirao da Ilha;Baia Sul;Herposiphonia secunda;52.34;4
Ribeirao da Ilha;Baia Sul;Acanthophora spicifera;44.90;5
Caieira da Barra do Sul;Baia Sul;Sargassum stenophyllum;104.42;1
Caieira da Barra do Sul;Baia Sul;Codium decorticatum;86.23;2
Caieira da Barra do Sul;Baia Sul;Hypnea musciformis;65.45;3
